uid,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56
00161a64d807a2216535e7fa,0.000128215077,5.636661081e-05,0.0005402597017,0.002224856289,0.04865407199,0.8093556166,6.314243365e-06,0.000874378311,0.08365296572,0.0002249116369,0.01955006272,0.0001414115977,1.11639165e-05,5.28964556e-05,5.714944564e-06,8.185853403e-06,9.006203072e-06,9.219163985e-06,0.005055505782,1.759823135e-05,3.012413617e-05,4.992527829e-05,5.847822104e-05,0.001219208236,6.423430023e-05,1.696290019e-05,4.684986197e-05,0.0001619562245,6.608875992e-05,3.047152313e-05,0.002214525593,0.001016979339,0.0001496265031,0.0001640318515,2.466395017e-05,2.56268122e-05,8.337973668e-06,3.027021921e-05,0.0002530306519,5.81019458e-06,1.078232344e-05,7.235318662e-06,0.000152419103,0.0002639940649,2.163680074e-05,0.0002809746657,0.001090727164,0.0009830227355,0.00372585631,0.001744320034,0.009200474247,2.866040631e-05,0.001027630991,0.003907335922,8.988396439e-05,0.001148290932,0.000100840196
002151b6a668518a19507086,6.498036964e-05,9.54322386e-05,0.002817429136,0.0001587367879,3.136921805e-05,0.0001627389429,6.591476904e-06,4.165572591e-06,2.445275277e-05,0.0009617129108,9.150972801e-06,2.054554216e-06,4.365365839e-06,1.681183335e-06,1.823445928e-05,3.915571142e-05,0.9219115973,1.712745529e-06,7.395622561e-06,6.921411114e-06,1.251245294e-06,3.770035391e-06,1.216286273e-05,1.948357294e-06,6.565084732e-06,0.0003190167772,7.104170891e-06,5.783667075e-05,5.297190728e-05,2.032311022e-05,5.963231888e-05,3.854132592e-05,0.0003908337676,4.674855063e-06,4.347453739e-07,2.836871545e-06,2.591406155e-05,9.901438716e-06,1.922978845e-05,0.001038731309,5.453252379e-05,0.0001342722098,0.06065737084,0.003598219482,5.030364264e-06,0.0001168620729,3.36048538e-06,1.848441389e-05,0.00486806687,0.0001544378174,8.241279829e-06,4.81874813e-05,0.0001360918104,9.038010944e-07,5.492538094e-06,0.001739203581,4.766116763e-05
002dbe3b99f71146ccf4aa74,0.001461779,7.831692346e-05,0.0002856357023,0.0003730036842,9.809086623e-05,0.0002321374486,8.569025522e-05,0.0005782904336,0.0002643507323,0.001200790633,3.829543857e-05,0.002142922953,0.01501633506,0.002445869846,0.0002788627171,0.001529641566,7.613933849e-05,0.09514743835,0.0004336257989,0.005268662702,0.03651738167,0.01614391431,0.002562345238,0.03335419297,0.01496770978,0.04298732802,7.612266927e-05,4.197841918e-05,0.0007237608661,0.0001203207867,0.0002467104932,0.0005961184506,1.780859748e-05,0.0004183353158,0.003909071442,0.6063784361,0.09027828276,0.0004232564243,0.0001752166863,0.0006658121129,0.0003544494102,8.647965296e-05,8.667507245e-06,1.399451321e-05,0.0006228222046,0.0004451047862,0.003799314611,0.0005435697385,0.0005137133412,0.0003239910875,0.0004481254437,0.0008421268431,0.0004623088171,0.01344608795,0.0003387399192,1.256300675e-05,9.786015289e-05
0059cddce95b0e865d32654e,0.001727051567,0.0003782285203,0.001121392357,0.0007382133044,5.168242933e-05,0.9596296549,5.30939069e-05,6.200681673e-05,0.004319057334,4.696189353e-05,0.008680581115,0.0001591273176,0.0003181545471,6.678634236e-05,2.607603892e-05,0.0003699081135,4.04004677e-05,0.0003378159599,0.0001155921855,0.0004786919453,8.447004075e-05,1.978079672e-05,0.003210464492,0.004613149911,0.001761569525,0.0002017455263,0.0001149657764,0.0003121598857,8.015357162e-05,0.000476401794,0.0005300410558,0.0005727792159,0.001463938039,0.000105628038,8.797860937e-05,2.117418262e-05,0.001170772128,0.0007242666325,8.102649736e-05,1.101278212e-05,5.216226054e-05,1.108547076e-05,0.0001919703063,0.0001061160583,2.630073323e-05,0.0007932835724,9.620047058e-05,0.0002302087232,0.0010213356,0.000809303252,0.0002032165212,5.353193774e-05,0.0006140127662,5.413920371e-05,0.001323071425,3.1172327e-05,1.895928472e-05
00a80030d125a45821fc4d84,4.633430308e-06,1.524465915e-06,2.474735261e-08,1.289994543e-05,3.257054573e-07,1.803839922e-07,1.26271982e-06,1.366920515e-05,2.534383384e-06,9.304176842e-07,1.327438213e-06,5.969677659e-07,1.096544679e-06,2.177211854e-06,1.769185587e-06,7.304858514e-07,8.094433724e-06,6.072064593e-07,3.769715931e-06,2.212931349e-06,5.347882961e-06,3.326740909e-07,2.233741156e-07,2.68534933e-07,1.287241389e-06,4.475409696e-07,4.42097371e-06,5.328497991e-06,1.722450065e-06,1.650226659e-05,6.333957572e-07,2.523963303e-06,1.179767651e-06,4.954169071e-06,1.383138397e-06,8.204742699e-07,2.029969437e-06,1.015669659e-05,0.9998579025,1.704688799e-07,9.602172213e-07,3.497367288e-06,1.466127628e-07,6.76331922e-07,1.508046694e-06,3.910543001e-07,7.06481444e-07,4.406142011e-07,3.113926141e-06,1.039958761e-06,3.670331353e-06,7.59521015e-07,4.547557921e-07,4.413946897e-07,6.016968541e-07,3.543641014e-06,4.905011153e-08
00ac70acc17a9b675ddfabe7,8.764403174e-05,1.015676389e-05,0.0002617340651,0.0004060365609,5.242619227e-05,3.720738096e-05,0.0004787766375,4.686051398e-05,6.827380275e-05,0.009842307307,0.0001366534998,1.844468784e-06,3.51489598e-06,1.567132699e-06,3.561148787e-06,4.282278496e-06,3.278839131e-06,2.876940925e-06,0.000113600443,1.992908807e-07,2.114043809e-06,3.570691206e-06,1.093236278e-06,4.994294045e-07,9.362423953e-06,1.831824306e-06,5.966665776e-05,8.59845386e-06,3.416679988e-07,2.719315262e-06,2.753283468e-07,0.0003585419036,1.942902236e-05,0.0005162372836,3.410086038e-06,3.072824256e-05,1.200669067e-05,8.949287462e-07,6.671050505e-05,0.0002656312427,2.441199831e-05,4.610243923e-05,1.554640676e-06,6.63300234e-05,7.705610187e-06,0.0005848113797,0.003703015158,0.9800223708,9.410983694e-06,0.0001179821847,0.0002757873735,5.600287113e-05,0.001970289042,8.301779599e-05,9.487411444e-05,3.302390269e-06,6.622660749e-06
00b38f5455cc2072ed8f8abb,0.0001688497578,8.746298408e-05,4.992532467e-06,0.0004060456995,0.0001942610834,2.221698378e-05,6.727032087e-06,7.207779163e-06,0.0001335257257,7.587000709e-06,1.353835887e-05,0.001044293283,0.9904524088,0.005344070494,1.785127824e-05,6.742142432e-06,4.098494901e-05,8.781356155e-05,2.015102837e-05,7.883290527e-05,4.551087841e-05,3.72978102e-05,6.458432472e-05,2.387673703e-05,2.023483466e-05,8.232505934e-06,5.960529961e-06,1.517661622e-05,3.391870632e-05,1.137103573e-05,1.483374308e-05,0.0001243875304,4.723931488e-05,2.439589935e-06,3.678663052e-05,1.086780867e-05,2.978295925e-05,6.426231266e-05,0.0001210986447,3.796144711e-06,0.0001371219405,1.496453206e-05,0.0001240272541,2.638464139e-05,0.0001471863361,2.270066761e-05,3.293209602e-06,8.821006304e-06,3.254615422e-06,3.202525113e-05,0.0002191337844,3.981922418e-06,8.830559818e-05,1.519394664e-05,4.647782407e-05,0.0002366933768,3.171986918e-06
00bf725a399229cb7d2b66d2,2.84389057e-06,4.388004182e-09,3.497250489e-08,4.009910128e-07,1.442266608e-07,2.570978097e-08,4.61127172e-08,2.32297257e-08,2.226389881e-07,8.825330688e-09,4.858191627e-09,7.502056292e-07,8.743790204e-06,1.388470309e-06,3.360598839e-06,0.9998817444,2.16663274e-08,5.237333426e-06,1.752293315e-07,3.14944873e-06,2.981922762e-07,3.761943844e-06,1.343334316e-05,6.67663835e-06,7.116620054e-06,3.03581146e-06,4.105339002e-08,1.47799355e-07,8.229338988e-08,6.811873732e-08,7.933502388e-08,2.188289443e-07,6.462662583e-08,3.406759319e-08,4.263646406e-05,3.999646651e-06,6.540779395e-06,6.272783537e-08,3.004024762e-08,6.039446987e-08,1.069401918e-07,7.077612452e-08,1.776496994e-08,1.173832231e-08,1.796674951e-07,1.356609971e-07,1.073190177e-07,2.157109122e-07,1.918488923e-09,3.341178854e-07,2.844695075e-07,3.623937062e-08,1.738977602e-07,1.21437904e-06,2.547796498e-07,4.906064177e-08,7.077228759e-08
00c6163289aa3e2cd0071a2a,0.0124489991,0.004391666967,0.142621994,0.1426231563,0.001517132972,0.02227005549,0.0002263356582,0.0006785112782,0.03592867032,0.001429862808,0.001261244062,0.00111884973,0.0003492606629,0.0002184052864,0.0001971560268,2.830065932e-05,5.812113159e-05,0.0001112778118,0.05915532634,4.152738256e-05,7.173149061e-05,0.0003743286652,0.0003437831183,0.0001047092665,0.0001478560007,2.324453271e-05,0.0001582382101,0.000364162639,0.0004495969333,0.000304638379,9.400401905e-05,0.04604497552,0.002940446138,0.01133469492,8.760884521e-05,3.024927719e-05,0.0003101266921,0.0001173203709,0.0004806956567,0.001321364078,0.0006233011372,0.0002746825339,0.0001904901874,0.0004454749578,0.0003665231343,0.09954532236,0.09779716283,0.05362164229,0.002743645804,0.003505954286,0.07277862728,0.07505189627,0.03369005024,0.01469344925,0.01477893628,8.936581435e-05,0.03802391514
00e432e9b516ef855941720e,0.0001241695136,6.21157451e-05,0.0001790605893,0.9912201166,0.0001657280227,9.929258522e-05,0.0002224492782,2.525403761e-05,0.00109816005,2.062303247e-05,0.001112157595,8.719124708e-06,2.706867781e-05,7.755434126e-06,7.312180969e-06,4.520011771e-06,0.0001022356955,2.301543464e-05,0.0003002853773,0.0001179476021,2.209784361e-05,4.04511411e-06,7.82746647e-05,2.468879029e-05,1.338775746e-05,1.363741194e-05,7.307254691e-06,8.478178643e-05,2.620299529e-05,0.0005706285592,1.441431141e-05,0.0005279328907,0.0001713183883,1.061920466e-05,5.512078587e-06,1.064017965e-06,5.822613457e-05,3.090427299e-06,0.0001519907091,2.865030547e-05,0.0004575231869,0.0004267993791,4.393315976e-06,2.4394305e-05,2.038660796e-06,0.0007321953308,2.652743206e-05,0.000112330119,3.720986206e-05,0.0001081485025,0.0001975447667,6.677013153e-05,0.0002114498639,1.017804789e-05,0.0001226907625,0.0007120338851,1.99634178e-06
