uid,y,domain,has_animal,answer_raw,parse
9010c50ab4f1d4fc00a51494,0,id,1,There is an animal,ok
3080b512f9ba0cd0c48f8216,0,id,0,There is NOT an animal,ok
d35dd7963313784db24c2649,0,id,1,There is an animal,ok
2d4110fb6b9819d829fc43f6,0,id,0,There is NOT an animal,ok
602fb2a3e87b48286ea1f515,0,id,1,There is an animal,ok
d60b6a017961a07bd608fdfe,0,id,0,There is NOT an animal,ok
51b9afe08615fa7a15f90ae4,0,id,1,There is an animal,ok
9d134e6bf150f36c134f4999,0,id,0,There is NOT an animal,ok
f4cd13c28e34b67c560fdf85,0,id,0,There is NOT an animal,ok
e9cc4b47efaf2ae671834cf0,0,id,0,There is NOT an animal,ok
fc1d84de4de1fc7bcc49a66b,0,id,1,There is an animal,ok
ab516fab7d6bf3e925049762,0,id,0,There is NOT an animal,ok
a4faa4b3da8a8305ed820089,0,id,0,There is NOT an animal,ok
debc72258975ccb30c724458,0,id,1,There is an animal,ok
c3d24aeaae205501a7493257,0,id,1,There is an animal,ok
4bb328e0c9e4665c2d4846a2,0,id,1,There is an animal,ok
e42c1c2806775876dcd1bca4,0,id,0,There is NOT an animal,ok
8865e1caa6f3c7dc57371f06,0,id,0,There is NOT an animal,ok
3596bce879708b0283717189,0,id,0,There is NOT an animal,ok
9a40b663089b75182624ad4d,0,id,0,There is NOT an animal,ok
b7a014e4254b7c8ab963c7b0,0,id,0,There is NOT an animal,ok
d50ca23bb8dea26869756612,0,id,0,There is NOT an animal,ok
f2d0ae2748c1422ca09245ca,0,id,0,There is NOT an animal,ok
358ad203eca48c056a3c3718,0,id,0,There is NOT an animal,ok
25da758e8b6eb82033714f10,0,id,1,There is an animal,ok
deaff291ccae930c4fb5d07d,0,id,0,There is NOT an animal,ok
a994c13a95cc3af6369835eb,0,id,1,There is an animal,ok
820f0f522f5713dc1ab749c3,0,id,0,There is NOT an animal,ok
db482d3b436014ff3e89e9d6,0,id,1,There is an animal,ok
4b0cd89224c64ae656c0c47d,0,id,1,There is an animal,ok
180315d6aa6fc8e484433921,0,id,0,There is NOT an animal,ok
74fd1251107b7fad29b691b7,0,id,1,There is an animal,ok
fa6ae512703180bf8874e045,0,id,1,There is an animal,ok
cb65339c5d6e4b62633f1a68,0,id,0,There is NOT an animal,ok
d64ff3d6fc7621280b0eac91,0,id,0,There is NOT an animal,ok
b205c22d06c10db692a94105,0,id,1,There is an animal,ok
657fc668754ffe8a9463af6a,0,id,1,There is an animal,ok
11b0678386dc7036487852c4,0,id,0,There is NOT an animal,ok
